type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-01-25 06:45:01,24.85048500,67.00533000,1.80,4.800,,0.905,88,17,42,,
T,2024-01-25 06:45:02,24.85048333,67.00534500,1.80,4.800,,0.923,94,18,42,,
T,2024-01-25 06:45:03,24.85048500,67.00535833,1.80,4.800,,0.946,84,17,42,,
T,2024-01-25 06:45:04,24.85048500,67.00537167,1.80,4.700,,0.962,79,18,42,,
T,2024-01-25 06:45:05,24.85048000,67.00538500,1.80,4.700,,0.964,81,17,42,,
T,2024-01-25 06:45:06,24.85048167,67.00539500,1.90,4.700,,0.993,80,18,42,,
T,2024-01-25 06:45:07,24.85048167,67.00540833,1.90,4.600,,1.020,62,18,42,,
T,2024-01-25 06:45:08,24.85047833,67.00542000,1.80,4.700,,1.019,101,18,42,,
T,2024-01-25 06:45:09,24.85047833,67.00543167,1.80,4.700,,1.012,63,19,42,,
T,2024-01-25 06:45:10,24.85048167,67.00544333,1.80,4.700,,1.023,66,19,42,,
T,2024-01-25 06:45:11,24.85048667,67.00545500,1.80,4.700,,1.026,75,19,42,,
T,2024-01-25 06:45:12,24.85048500,67.00546500,1.80,4.700,,0.985,71,19,42,,
T,2024-01-25 06:45:13,24.85048667,67.00547500,1.80,4.700,,0.949,78,19,42,,
T,2024-01-25 06:45:14,24.85048833,67.00548500,1.80,4.800,,0.916,77,19,42,,
T,2024-01-25 06:45:15,24.85049667,67.00550000,1.80,4.900,,0.921,74,19,42,,
T,2024-01-25 06:45:16,24.85050667,67.00551667,1.80,5.000,,0.915,77,19,42,,
T,2024-01-25 06:45:17,24.85051500,67.00553167,1.80,5.000,,0.901,81,19,42,,
T,2024-01-25 06:45:18,24.85052000,67.00554500,1.90,5.000,,0.906,89,19,42,,
T,2024-01-25 06:45:19,24.85052333,67.00556000,1.90,5.100,,0.915,96,19,42,,
T,2024-01-25 06:45:20,24.85052500,67.00557333,1.80,5.000,,0.919,92,19,42,,
T,2024-01-25 06:45:21,24.85053000,67.00558333,1.80,5.000,,0.919,84,19,42,,
T,2024-01-25 06:45:22,24.85053333,67.00559333,1.80,5.000,,0.949,76,19,42,,
T,2024-01-25 06:45:23,24.85053500,67.00560333,1.70,4.900,,0.972,81,18,42,,
T,2024-01-25 06:45:24,24.85053833,67.00561333,1.70,4.900,,0.993,84,19,42,,
T,2024-01-25 06:45:25,24.85053833,67.00562667,1.60,4.900,,1.002,86,19,42,,
T,2024-01-25 06:45:26,24.85053833,67.00564500,1.60,4.900,,1.026,89,19,42,,
T,2024-01-25 06:45:27,24.85053833,67.00566000,1.60,5.000,,1.047,90,19,42,,
T,2024-01-25 06:45:28,24.85054167,67.00567333,1.60,5.000,,1.076,85,20,42,,
T,2024-01-25 06:45:29,24.85054167,67.00568833,1.60,5.000,,1.107,82,20,42,,
T,2024-01-25 06:45:30,24.85055000,67.00569833,1.60,5.000,,1.127,66,20,42,,
T,2024-01-25 06:45:31,24.85055500,67.00571000,1.60,5.000,,1.149,67,20,42,,
T,2024-01-25 06:45:32,24.85056333,67.00572167,1.70,5.000,,1.174,67,20,42,,
T,2024-01-25 06:45:33,24.85057333,67.00573000,1.70,5.100,,1.190,57,20,42,,
T,2024-01-25 06:45:34,24.85058333,67.00573667,1.70,5.100,,1.196,45,20,42,,
T,2024-01-25 06:45:35,24.85058833,67.00574500,1.80,5.100,,1.196,61,20,42,,
T,2024-01-25 06:45:36,24.85059500,67.00575167,1.90,5.000,,1.133,72,20,42,,
T,2024-01-25 06:45:37,24.85060000,67.00575500,2.00,4.900,,1.048,47,20,42,,
T,2024-01-25 06:45:38,24.85060500,67.00575333,2.10,4.900,,0.960,29,20,42,,
T,2024-01-25 06:45:39,24.85061000,67.00575333,2.30,4.800,,0.870,357,20,42,,
